Winery,Address,City,Website,Phone,NWP,App,Cave,Notes/Labels
Marciano Estate,2401 Sulpher Springs Ave,St. Helena,www.marcianoestate.com,967-0983,X,Yes,,1st V: 2012 - owners of Guess & Wallys Wine LA
Mark Herold Wines,710 First Street,Napa,www.markheroldwines.com,256-3111,X,No,,Napa winery but mostly non Napa fruit
Marketta Wine,528 Coombs Street,Napa,www.markettawinery.com,226-5944,X,Private,,
Mario Bazan Cellars,960 Clinton Street,Napa,www.mariobazancellars.com,927-5564,X,Private,,SILENUS VINTNERS
Maritas Vineyard,2055 North Ave,Napa,www.maritasvineyard.com,259-5313,X,Private,,
Markham Vineyards,2812 St. Helena Highway N,St. Helena,www.markhamvineyards.com,963-5292,X,No,,"Glass Mountain, Greystone Cellars"
Maroon Wines,3565 Hagen Road,Napa,www.maroonwines.com,257-3040,X,Private,,Also Crauford Wines
Marston Family,3600 White Sulphur Springs Rd,St. Helena,www.marstonfamilyvineyard.com,963-8490,X,Yes,,
Martin Estate,8780 Conn Creek Road,Rutherford,www.martinestate.com,967-0400,X,Yes,,
Massican,1518 Filmore Street,Calistoga,www.massican.com,709-8400,X,Private,,
Materra Wines,4326 Big Ranch Road,Napa,www.materrawines.com,815 385-3871,X,Yes,,
Mathew Bruno,1151 Rutherford Road,Rutherford,www.mathewbruno.com,738-9119,X,Private,,
Matthew Wallace,PO Box 50,Rutherford,www.matthewwallacewines.com,,,Private,,
Matthiasson Vineyards,3175 Dry Creek Road,Napa,www.matthiasson.com,637-4877,X,Yes,,SILENUS VINTNERS
Matt Morris Wines,,Calistoga,www.mattmorriswines.com,,,Private,,Charbono exclusively
Maxville Lake Wines,4105 Chiles Pope Valley Rd,St. Helena,www.maxvillelakewines.com,965-9378,X,Yes,Yes,
Mayacamas Vineyards,1155 Lokoya Road,Napa,www.mayacamas.com,224-4030,X,Yes,Yes,"TR 1256 1st Street, Napa"
Mayback Family Vineyards,P.O. Box 360,Vineburg,www.maybachwines.com,415 922-1099,,Private,,
Maze Wine,,,www.mazewines.com,260-4698,,Private,,Made in Napa? Mostly non Napa
MC4 Wine,PO Box 557,St. Helena,www.mc4wine.com,963-5422,X,Private,,Fred/Paul
McKahn Family Cellars,PO Box 874,Napa,mckahnfamilycellars.com,732-8495,,No,,Producing in NV? Some N wines TR FF
Mckenzie-Mueller,2530 Las Amigas Road,Napa,www.mckenziemueller.com ,252-0186,X,Yes,,
MDC Wines,PO Box 133,Oakville,www.mdcwines.com,,X,Private,,
Melanson Vineyard,1537 Sage Canyon Road,St. Helena,www.melansonvineyard.com,963-7404,,Private,,Only at ACME. Still producing?
Melka Wines,2900 Silverado Trail N,St. Helena,www.melkawines.com,963-6008,X,Yes,,VC & Montbleau Estate
Memento Mori,S Coombs Street,Napa,www.mmwine.com,819-2409,X,Yes,,TR south downtown Napa
Mendelson Wines,809 Coombs Street,Napa,www.mendelsonwines.com,255-7825,X,Private,,"Also non Napa fruit, MENDO Wines"
Mending Wall,3730 Silverado Trail N,St. Helena,www.mendingwall.com,709-4200,X,Yes,,Thomas Brown new winery 
Merryvale,1000 Main St,St. Helena,www.merryvale.com,963-7777,X,No,,Starmont
Merus Wines,424 Crystal Springs Road,St. Helena,www.meruswines.com,251-5551,X,Yes,Yes,"Altus, 2nd label - Crystal Springs Road"
Metaphora Wines,PO Box 287,Rutherford,www.metaphorawines.com,963-3737,X,Yes,,
Meteor Vineyard,2181 3rd Ave,Napa,www.meteorvineyard.com,258-2900,X,Private,,Barry & Tracy Schuler
Metzker Family Estates,PO Box 6494,Napa,www.mfewines.com,974-2128,,Private,,Mostly non Napa. Made in Napa?
Mi Sueno Winery,910 Enterprise Way #M,Napa,www.misuenowinery.com,258-6358,X,Private,,"VC, Herrera Label TR @ Village Vista Collina"
Michael Mondavi Fam. Estate,,Napa,www.michaelmondavifamilyestate.com,256-2726,X,Yes,,"Folio, IsMond. Emblem, Animo, M labels"
Michael Pozzan Winery,7830-40 St. Helena Hwy Ste. 122,Oakville,www.michaelpozzanwinery.com,800 848-9630,X,Private,,"NAPA WINE CO, many labels"
Michael Scott Wines,2993 Brookwood Drive,Napa,www.michaelscottwines.net,226-1622,X,Yes,,"Michael Soctt, Centerpiece wines"
Michel Rolland NV,,,www.michelrollandnapavalley.com,738-0011,,Private,,Part of JH Unfiltered Collection
Migliavacca,1475 Fourth Street,Napa,www.migwine.com ,,X,Private,,
Mike & Molly Hendry,3104 Redwood Road,Napa,www.mikeandmollyhendry.com,738-6896,X,Yes,,
Milk Wines,,Rutherford,www.milkwines.com,,,Private,,NY restauranteurs 
Miner Family Vineyards,7850 Silverado Trail,Oakville,www.minerwines.com,944-9500x17,X,No,Yes,
Mira Winery,6170 Washington Street,Napa,www.miranapa.com,945-0881,X,Yes,,Gustavo Gonzalez
Mirror Wine Company,1360 Main Street Suite A,St. Helena,www.mirrorwine.com,968-5052,X,Private,,Made at Napa Wine Co
Mithra Winery,,Napa,www.mithrawinery.com,310 480-5600,,Private,, (Mt Veeder)
Montagu Wines,3111 St. Helena Highway N,St. Helena,www.montaguwines.com,418-0020,X,Yes,,Silver Ghost Cellars (Texas connection)
Montgomery Vineyard,,Calistoga,www.montgomeryvineyard.com,708-1541,,Private,,
Monticelli Bros,4446 Stillson St,Napa,www.monticellibros.com,255-9100,X,Private,,
Monticello Vineyards,4242 Big Ranch Road,Napa,www.corleyfamilynapavalley.com,253-2802x16,X,No,,Corley Family Label
Moon Tsai,3111 st. Helena Highway,Rutherford,www.moonetsai.com,265-6782,X,Private,,
Morey Wine Cellars,P.O. Box 4261,Napa,www.moreycellars.com,226-2348,X,Yes,,
Morgado Cellars,2100 Hoffman Lane,Napa,www.morgadocellars.com,947-7934,,Yes,,1/2 Napa 1/2 Sonoma
Morlet Family Vineyards,2825 St. Helena Highway,St. Helena,www.morletwines.com,967-8690,X,Yes,Yes,
Mount Veeder Magic,,Napa,www.mountveedermagic.com,963-7111,X,Private,,
MS Torun Winery,5185 Wragg Canyon  Road,Napa,www.mstorunwinery.com,966-1957,X,Yes,,
MTGA Wines,958 McCorkle Ave,St. Helena,www.mtgawines.com,337-9168,X,Yes,,
Mueller Family Vineyards,1515 Diamond Mountain Rd,Calistoga,www.muellerfamilyvineyards.com,942-5662,X,Private,,
Mumm Napa,8445 Silverado Trail,Napa,www.mummnapa.com,967-7700,X,No,,
Muscatine Vineyard,2410 Soda Canyon Road,Napa,www.muscatinevineyard.com,287-2403,X,Private,Yes,
Myriad Cellars,P.O. Box 2016,St. Helena,www.myriadcellars.com,287-1630,X,Private,,
My Italian Cousin,,,www.myitaliancousin.com,559 298-8290,,Private,,Central Valley farming family
Napa Cellars,2812 St. Helena Highway N,St. Helena,www.napacellars.com,963-5292,X,No,,
Napastak,1240 1st Street,Napa,www.napastak.com,927-3303,X,No,,"store, downtown Napa"
Napa de Oro,1228 Hagen Road,Napa,www.napadeoro.com,255-7431,,Private,,
Napa Valley College Estate,2277 Napa Vallejo Highway,Napa,www.napavalley.edu/academics/TechnicalDivision/Winery/Pages/default.aspx,253-3259,X,Yes,,
Navone Family Wines,789 Fulton Street,St. Helena,www.navonefamilywines.com,963-4188,X,Private,,Andy & Celeste
Neal Family Vineyards,716 Liparita Road,Angwin,www.nealvineyards.com,965-2800,X,Yes,Yes,29 Songs
Neiman Cellars,631 River Glen Drive,Napa,www.neimancellars.com,224-9923,,Private,,Still producing?
Nellcote,PO Box 11038,Napa,www.nellcote.com,968-7896,X,Private,,
Nemerever Vineyards,711 Oakville Cross Road,Oakville,www.nemerever.com,617 734-6994,X,Yes,Yes,
Newton Vineyards,2555 Madrona Ave,St. Helena,www.newtonvineyard.com,963-9000,X,Yes,Yes,
Next Door Wine,3111 Lake County Highway,Calistoga,www.nextdoorwine.com,207 350-6229,X,Private,,
Neyers Vineyards,2153 Sage Canyon Road,St. Helena,www.neyersvineyards.com,963-8840,X,Yes,,Tues-Sat
Nichelini Winery,2950 Sage Canyon Road,St. Helena,www.nicheliniwinery.com,963-0717,X,No/Yes,,Weekdays for App
Nicholson Jones,15 Chateau Lane,Napa,www.nicholsonjones.com,337-5943,X,Yes,,
Nickel & Nickel,8164 St. Helena Highway ,Oakville,www.nickelandnickel.com,967-9600,X,Yes,,
Nicolette Christopher,229 Silverado Springs Drive,Napa,www.nicolettechristopher.com,265-0932,X,Private,,
Night Wines,1351 Main Street,St. Helena,www.nightwines.com,302-5130,X,No,,
Nine Suns,200 Long Ranch Road,St. Helena,www.ninesuns.com,963-9888,X,Private,Yes,
Nova Wines,P.O. Box 1014,St. Helena,www.marilynwines.com,963-5475,X,Yes,,"NAPA WINE CO, also Uvada Wine"
Oakville Cross Wines,939 Oakville Cross Road,Oakville,www.oakvillecrosswines.com,944-9200,X,Private,,
Oakville East,7730 Silverado Trail,St. Helena,www.oakvilleeast.com,337-2035,X,Private,,
Oakville Ranch,7781 Silverado Trail,Oakville,www.oakvilleranch.com,944-9665,X,Yes,,MERITAGE
O'Brien Estate Winery,1200 Orchard Ave,Napa,www.obrienestate.com,252-8463,X,Yes,,Seduction Wine
O'Connell Family,4104 Dry Creek Road,Napa,www.oconnellfamilywines.com,257-2600,X,Yes,,"Gabrielle, Pietro, CE"
Odette Estate,5998 Silverado Trail,Napa,www.odetteestate.com,224-7533,X,No,Yes,
Ogden Wine Co,,,www.ogdenwineco.com,603-9243,,Yes,,Only 1 wine from NV
Okapi Wines,4193 Big Ranch Road,Napa,www.okapiwines.com,415 613-4984,X,Yes,,
Olabisi Wines,1226 Washington Street,Calistoga,www.olabisiwines.com,942-4472,X,Yes,,
Old Acre Wines,,,www.oldacrewines.com,,,Private,,
Old Country Cellars,295 Old Country Road #1,San Carlos,www.oldcountycellars.com,650 918-7716,,No,,"Mostly non NV, TR in San Carlos CA"
Olivia Brion,690 Meadowood Lane,St. Helena,www.oliviabrion.com,963-2108,X,Private,Yes,Heron Lake Winery
Olney Family Vineyards,2253 Dry Creek Road,Napa,www.ofv.com,999-1795,X,Yes,Yes,
On Q,,Danville,www.onqwines.com,925 487-2962,X,Yes,,
ONEHOPE Wine,8305 St. Helena Highway,Napa,www.onehopewine.com,866 983-2266,X,Yes,,
Opus One Winery,7900 St. Helena Highway,Oakville,www.opusonewinery.com,944-9442,X,Yes,,
Orin Swift Cellars,1325 Main Street,s,www.orinswift.com,967-9179,X,Yes,,"Mercury Head, Prisoner, Veladora"
O'Shaugnessey Estate,1150 Friesen Drive,Angwin,www.oshaughnessywinery.com,965-2898,X,Yes,Yes,Progeny Wines
Oestermann Wines,,Napa,www.oestermannwines.com,,X,Yes,,
Otra Vez,2280 Greenwood Ave,Calistoga,www.otravezwinery.com,942-4310,X,Yes,,
Outpost Wines,2075 Summit Lake Drive,Angwin,www.outpostwines.com,965-1718,X,Yes,,
Ovid Vineyards,255 Long Ranch Road,St. Helena,www.ovidvineyards.com,963-3850,X,Private,Yes,
Padis Vineyards,3025 Dry Creek Road,Napa,www.padisvineyards.com,780-7322,X,No,Yes,TR downtown Napa
Page Wine Cellars,520 California Blvd #20,Napa,www.pagewinecellars.com,255-4665,X,Private,,
Pahlmeyer Winery,P.O. Box 2410,Napa,www.pahlmeyer.com,255-2321,X,Private,,"NAPA WINE CO, Jayson Label"
Palazzo Wine,3940 Laurel Cnyn Blvd 987,Studio City,www.palazzowine.com,425-5575,X,Private,,
Palmaz Vineyards,4029 Hagen Road,Napa,www.palmazvineyards.com,226-5587,X,Yes,Yes,Cedar Knoll Vineyards
Paloma Vineyard,4013 Spring Mountain Road,St. Helena,www.palomavineyard.com,963-7504,X,Yes,,
Paoletti Estates,4501 Silverado Trail,Calistoga,www.paolettivineyards.com,942-0689 ,X,Yes,Yes,
Paradigm Winery,1277 Dwyer Road,Oakville,www.paradigmwinery.com,944-1683,X,Yes,,
Parador Cellars,P.O. Box 3298,Yountville,www.paradorcellars.com,256-1770,X,Private,,
Paraduxx,7257 Silverado Trail,Napa,www.paraduxx.com,945-0890,X,Yes,,
Parallel Wines,3125 St. Helena Highway,St. Helena,www.parallelwines.com,486-1100,X,Private,,VINTNER'S COLLECTIVE
Paratus,1945 Mt. Veeder Road,Napa,www.paratuswine.com,253-1722,,Private,,
Paravel Wines,1325 Summit  Lake Drive,Angwin,www.paravelwines.com,738-1312,X,Private,,
Patel Winery,PO Box 22,Oakville,www.patelwinery.com,812-1616,X,Yes,,
Patland Estate Vineyards,2431 Soda Canyon Road,Napa,www.patlandvineyards.com,888 539-4717,X,Yes,Yes,Also @ Caves at Soda Canyon
Patria Wines,,St. Helena,www.patriawines.com,738-4089,,Private,,"Anthony Biagi, Sepia Wines"
Paula Kornell,,,www.paulakornell.com,877 289-9463,,Private,,
Pavi,750 Chiles Ave,St. Helena,www.paviwines.com,963-9566,X,Private,,"NAPA WINE CO, Fisticuffs"
Peace Water Winery,2000 Summit Lake Drive,Angwin,www.peacewaterwinery.com,317 810-1330,,No,,"3 TR in Indiana, mostly NV wines. SL"
Peacock Family Vineyard,3100 Spring Mountain Rd.,St. Helena,www.peacockvineyard.com,967-0770,X,Yes,,
Peju,8466 St. Helena Highway,St. Helena,www.peju.com,963-3600x333,X,No,,
Pellet Estate,1241 Adams St Suite 1002,St. Helena,www.pelletestate.com,363-3281,X,Yes,,
People's Wine Revolution,,Calistoga,www.pwrwines.com,360-5419,X,Yes,,
Perchance Estates,PO Box 542,Rutherford,www.perchanceestates.com,322-5473,,Yes,,Mike Smith
Perliss Vineyards,,Calistoga,www.perlissvineyards.com,415 954-2736,X,Private,,
PerUs Wine,PO Box 2756,Yountville,www.peruswine.com,948-6389,X,Yes,,
Pestoni Family ,1673 St. Helena Highway,St. Helena,www.pestonifamily.com,963-0544,X,No,,
Peter Franus Wines,P.O. Box 10575,Napa,www.peterfranus.com,945-0542,X,Yes,,
Peter Paul  Wines,,,www.peterpaulwines.com,415 446-2825,,Private,,"All Sonoma, but one Napa cab"
Petree Cellars,45 Enterprise Court,Napa,www.petreecellars.com,916 947-5087,,Private,,"Mostly Sonoma, One Napa cab"
Philip Togni Vineyard,3780 Spring Mountain Road,St. Helena,www.philiptognivineyard.com,963-3731,X,Private,,"Mailing List customers, taste only"
Phipps Family Cellars,700 Technology Way,Napa,www.pfcwine.com,265-0677,,Private,,1 Napa wine
Phiver Pavitt,4660 Silverado Trail,Calistoga,www.phiferpavittwine.com,942-4787,X,Private,,
Piazza del Dotto,7466 St. Helena Highway,Napa,www.deldottovineyards.com,963-2134,X,Yes,Yes,Also Village del Lago is a winery
Picayune Cellars,1329 Lincoln Ave Suite B,Calistoga,www.picayunecellars.com,341-3410,X,No,,
Picazo Vineyards,PO Box 3186,Livermore,www.picazovineyards.com,925-454-0291,,Yes,,Livermore + Napa wines made @ CV
Pilcrow Wine,95 Winedale Lane,Napa,www.pilcrow-wine.com,479-5356,X,Private,,
Pina Cellars,8060 Silverado Trail,Napa,www.pinanapavalley.com,738-9328,X,Yes,,
Pine and Brown,,,www.pineandbrown.com,500-1045,X,Private,,
Pine Ridge Winery,5901 Silverado Trail,Napa,www.pineridgewinery.com,253-7500,X,Yes,Yes,
Pink Girl Wines,P.O. Box 854,Napa,www.pinkgirlwines.com,255-7357,X,Private,,Doesn't produce every year
Planetary Estates,,,www.planetaryestates.com,703 628-8133,,Private,,Wines made in Santa Rosa?
Plank Walker Wines,,,www.plankwalkerwines.com,,,Private,,May not produce every year?
Playground Cellars,,St. Helena,www.playgroundcellars.com,,,Private,,Paso + Napa
Plumpjack,620 Oakville Cross Road,Oakville,www.plumpjackwinery.com,945-1220,X,No,,
Poggi Wines,30 Rosedale Road,Calistoga,www.poggiwines.com,942-1310,X,Private,,
Pop 300 Cellars,,,,,,Private,,"Pinot Noir, Luke Russ Wilsey-To Kalon"
Pope Valley Winery,6613 Pope Valley Road,Pope Valley,www.popevalleywinery.com,965-1246,X,No,Yes,
Porter Family Vineyards,1189 Green Valley Road,Napa,www.porterfamilyvineyards.com,265-7980,X,Private,Yes,
Portfolio Winery,86 El Nido Drive,Napa,www.portfoliowinery.com,265-6555,X,Private,,Donates Magnums to Lao Charity
Post Parade Wines,PO Box 3386,Yountville,www.postparadewines.com,418-0022,X,Private,,Stretch Drive label
Pott Wines,2272 Mount Veeder Road,Napa,www.pottwine.com,226-3277,X,Private,,
Prager Winery & Portworks,1281 Lewelling Ln,St. Helena,www.pragerport.com,963-7678,X,No,,
Precision Wine Co,,,www.precisionwineco.com,,,Private,,Many Napa brands +others Made in Napa?
Pride Mountain Wines,4026 Spring Mountain Road,St. Helena,www.pridewines.com,963-4949,X,Yes,Yes,Curvature & Kerr Wines
Prime Solum,1021 Atlas Peak Road,Napa,www.primesolum.com,492-3531,X,No,,
Progeny,1032 Mt. Veeder Road,Napa,www.progenywinery.com,257-9001,X,Yes,,O'Shaughnessy
Promise Wine,Sage Canyon Road,St. Helena,www.promisewine.com,944-2565,X,Private,,
Promontory,1601 Oakville Grade,Oakville,www.promontoryestate.com,944-0125,X,Yes,,
Proposal Wine,,,www.proposalwine.com,,,Private,,Mostly non Napa + family Napa Vineyard
Prothro Family Wines,,Napa,www.prothrofamilywines.com,512 409-6602,X,Private,,
Provenance Vineyards,1695 St Helena Hwy,St. Helena,www.provenancevineyards.com,968-3633,X,No,,Hewitt Vineyard/Label
Pulido Walker,1185 State Lane,Yountville,www.pulidowalker.com,226-1900,X,Yes,,
Punch Vineyards,574 Montgomery Street,Napa,www.punchvineyards.com,477-1403,,Private,,Lagier
Pure Cru Wines,451 Gateway Road West,Napa,www.purecruwines.com,603-2943,X,No,,
Pym-Rae Wines,1100 Wall Road,Napa,www.pym-rae.com,33556590404,,Private,,
QTR Wines,989 Greenfield Road,St. Helena,www.qtrwines.com,408-3919,,Private,,
Quilt & Co,807 Main Street,Napa,www.quiltandco.com,777-8198,X,No,,"Copper Cane, Carne Humana, Quilt + "
Quintessa,1601 Silverado Trail,Rutherford,www.quintessa.com,967-1601,X,Yes,Yes,Faust Wines - we've also tasted
Quivet Cellars,P.O. Box 2016,St. Helena,www.quivetcellars.com,287-1630,X,Private,,
Quixote Winery,6126 Silverado Trail,Napa,www.quixotewinery.com,944-2659,X,Yes,,Panza = another label
R.H. Harrison,P.O. Box 5933,Napa,www.raharrisonfamilycellars.com,815-3569,X,Private,,
Rafael et Fils,2222 Third Ave,Napa,www.rafaeletfils.com,415 298-2810,X,Private,,
Random Ridge,4360 Cavedale Road,Glen Ellen,www.randomridge.com,938-9085,X,Private,,"# Wine made in Sonoma C., Mt. V."
Raport Wines,1390 Sproul Ave,Napa,www.rapportwines.com,713 298-2864,,Private,,Brent
Rare Cat Wines,P.O. Box 801,Rutherford,www.rarecatwines.com,968-5031,X,Private,,
Raymond Vineyards,849 Zinfandel Lane,St. Helena,www.raymondvineyards.com,963-3141,X,No,,"18 CA, 17 France, 1 India, 1 UK brands"
Razi Winery,3108 Silverado Trail,Napa,www.raziwinery.com,224-4299,X,Yes,,
RD Winery,3 Executive Way,Napa,www.rdwinery.com,259-9446,X,No,,
Realm Cellars,5795 Silverado Trail,Napa,www.realmcellars.com,224-1910,X,Private,Yes,"The Absurd,Levensohn, former HW Winery"
Red Cap Vineyards,891 Ponderosa Drive,Angwin,www.redcapvineyards.com,965-1145,X,Private,,
Red Mare Wines,,Calistoga,www.redmarewines.com,877 310-3335,X,Private,,Taste at Napa Wine co
Red Stitch,PO Box 111,Cardiff,www.redstitchwine.com,815-7019,,Private,,"Mostly non Napa fruit, 1 Napa Cab/yr"
Redmon Family Vineyards,1185 Starr Ave,St. Helena,www.redmonvineyards.com,968-9252,X,Yes,,
Red Thread Wines,2000 Summit Lake Drive,Angwin,www.redthreadwines.com,363-7326,X,Private,,
Regusci Winery,5584 Silverado Trail,Napa,www.regusciwinery.com,254-0403,X,Yes,,
Reid Family Vineyards,1020 Borrette Lane,Napa,www.reidfamilyvineyards.com,252-3195,X,Yes,,J Kirkwood
Relic Wines,2400 Soda Canyon Road,Napa,www.relicwines.com,967-9380,X,Yes,Yes,
Renard,Encanto Drive,Napa,www.renardsyrah.com,265-9061,X,Private,,Minimal production
Resolution Wines,PO Box 5822,Napa,www.resolutionwines.com,312-8037,,Private,,2018 = innaugural vintage
Retro Cellars,1955 Summit Lake Drive,Angwin,www.retrocellars.com,965-1042,X,Private,,
Revana Family,2930 St. Helena Highway N,St. Helena,www.revanawine.com,967-8814,X,Yes,,
Revenant Wines,PO Box 532,Calistoga,www.revenantwines.com,968-7966,X,Yes,,
Reverie II,264 N Fork Crystal Springs,Deer Park,www.reveriewine2.com,942-6800,X,Yes,Yes,
Revik,,Napa,www.revikwine.com,225-4620,,Private,,1 Napa wine
Rewa Vineyards,2201 Third Ave,Napa,www.rewavineyards.com,980-8009,X,Private,,
Reynolds Family Winery,3266 Silverado Trail,Napa,www.reynoldsfamilywinery.com,258-2558,X,Yes,,Naughty Cellars - Renteria collaboration
Riverain Vineyards,,Calistoga,www.riverainvineyards.com,339-7317,X,Yes,,
Rivera Vineyards,2520 Camino Diablo,Walnut Cr.,www.riveravineyards.org,925 943-1111,,Private,,Still producing? Donates charities
Rivers Marie,1418 Cedar Street,Calistoga,www.riversmarie.com,942-2172,X,Yes,,"Napa Cabs, Other wines Sonoma"
Road 31 Wine Co,230 Pickwick Drive,Napa,www.road31.com,649-1200,X,Yes,,
Roam Napa Valley,1901 St. Helena Highway,St. Helena,www.roamwine.com,235-2555,X,Yes,,
Robert Biale Vineyards,4038 Big Ranch Road,Napa,www.biale.com,257-7555,X,Yes,,Hill Climber
Robert Craig Winery,625 Imperial Way,Napa,www.robertcraigwine.com,252-2250,X,Yes,,"Winery, 2475 Summit Lake Drive Angwin"
Robert Foley Vineyards,1300 Summit Lake Drive,Angwin,www.robertfoleyvineyards.com,965-2669,X,Private,Yes,
Robert Keenan,3660 Spring Mountain Road,St. Helena,www.keenanwinery.com,963-9177,X,Yes,,
Robert Mondavi,7801 St. Helena Highway,Oakville,www.robertmondavi.com,888 766-6328,X,No,,
Robert Sinskey,6320 Silverado Trail,Napa,www.robertsinskey.com,944-9090,X,No,Yes,
Roberts + Rogers,3241 Ehlers Lane,St. Helena,www.robertsandrogers.com,942-7422,X,Private,,
Robinson Family Vineyards,5880 Silverado Trail,Napa,www.robinsonfamilyvineyards.com,944-8004,X,Yes,Yes,
Rocca Vineyards,129 Devlin Road,Napa,www.roccawines.com,255-2269,X,No,,
Rockmere Vineyards,4130 Silverado Trail,Napa,,,,Private,,
Rombauer Vineyards,3522 Silverado Trail,St. Helena,www.rombauervineyards.com,963-5170,X,No,Yes,Several wineries in Napa & Sierra foothills
Romeo Vineyards & Cellars,4425 Silverado Trail,Calistoga,www.romeovineyards.com,942-8239,X,Private,,"TR: 1224 Lincoln Ave, Calistoga"
Roots Run Deep,1607 1st Street,Napa,www.rootsrundeep.com,945-1045,X,Private,,Educated Guess
Round Pond,886 Rutherford Road,Rutherford,www.roundpond.com,877 963-9364,X,Yes,,
Round Two Wines,,Angwin,www.roundtwowines.com,967-8964,X,Private,,
Rowland Cellars,1883 Carignan Way,Yountville,www.rowlandcellars.com,944-0543,X,Private,,
Roy Estate,1220 Soda Canyon Road,Napa,www.royestate.com,968-1710,X,Private,,
Roy Piper Wines,,Yountville,www.roypiperwines.com,266-4168,X,Private,,
Royal Prince Wines,,,www.royalprincewines.com,,,Private,,Only 1 wine from NV
Rubia Wine Cellars,190 Camino Oruga,Napa,www.rubiawinecellars.com,915 329-1198,X,Yes,,Napa & Sonoma wines
Rudd,500 Oakville Cross Road,Oakville,www.ruddwines.com,944-8577,X,Yes,Yes,
RustRidge Winery,2910 Lower Chiles Road,St. Helena,www.rustridge.com,965-9353,X,Yes,,
Rutherford Hill,200 Rutherford Hill Road ,Rutherford,www.rutherfordhill.com,963-7194,X,No,Yes,
Rutherford Ranch,1680 Silverado Trail,St. Helena,www.rutherfordranch.com,968-3200,X,No,,Round Hill Label
Rutledge & Vine,,,www.rutledgeandvine.com,,,Private,,Rob Mondavi
S.R. Tonella Cellars,,Rutherford,www.srtonellacellars.com,955-3078,X,Private,,
Sabina Vineyards,3291 St. Helena Highway,St. Helena,www.sabinavineyards.com,963-0733,X,Private,,
Saddleback Cellars,7802 Money Road,Oakville,www.saddlebackcellars.com,944-1305,X,Yes,,
Saintsbury,1500 Los Carneros Ave,Napa,www.saintsbury.com,252-0592,X,Yes,,
Salexis Wines,"257 Walnut Street, Suite D",Napa,www.salexiswines.com,256-3435,X,Private,,
Salvestrin Wine Co,397 Main Street,St. Helena,www.salvestrinwinery.com,963-5105,X,Yes,,
Sang Froid Vineyards,1115 Lodi Lane,St. Helena,www.sang-froidvineyards.com,968-5398,X,Yes,,
San Savino Vineyards,,,www.sansavinovineyards.com,925 918-1976,,Private,,
Sarah Francis Wines,,St. Helena,www.SarahFrancisWines.com ,,,Private,,
Sarocka Wines,Spring Mountain Road,St. Helena,www.sarockawine.com,339-0530,X,Private,,Scully Wines
Saunter Wines,999 Adams Street Suite 303,St. Helena,www.saunterwines.com,963-8695,X,Private,,
Sawyer Cellars,759 Technology Way,Napa,www.sawyercellars.com,819-7308,X,Yes,,Still sourcing from orig Rutherford V
Scalon Cellars,PO Box 6438,Napa,www.scaloncellars.com,666-2245,X,Yes,,
Scarecrow,P.O. Box 144,Rutherford,www.scarecrowwine.com,963-3361,,Private,,
Scarlett Wines,,Rutherford,www.scarlettwines.com,925-314-0193,,Private,,Website down 1.20.22
Schermeister Cellars,14301 Arnold Dr #28,Glen Ellen,www.schermeister.com,934-8953,X,No,,
School House Vineyards ,3549 Langtry Rd,St. Helena,www.schoolhousevineyard.com,963-4240,X,Yes,,
Schrader Cellars,PO Box 1004,Calistoga,www.schradercellars.com,942-1540,,Private,,
Schramsberg,1400 Schramsberg Road,Calistoga,www.schramsberg.com,942-4558,X,Yes,Yes,"sister winery, J Davies - tasted also"
Schweiger Vineyards,4015 Spring Mountain Rd ,St. Helena,www.schweigervineyards.com,963-4882,X,Yes,Yes,
Sciandri Family Vineyards,50 Kreuse Canyon Drive,Napa,www.sciandrivineyards.com,277-4999,X,Private,,
Screaming Eagle,7557 Silverado Trail,Oakville,www.screamingeagle.com,944-0749,,Private,Yes,
Seabird,,,www.seabirdwines.com,267 884-4574,,Private,,Napa + Sonoma Made in Napa???
Seaver Vineyards,P.O. Box 888,Calistoga,www.seavervineyards.com,709-8314,,Private,,
Seavey Vineyard,1310 Conn Valley Road,St. Helena,www.seaveyvineyard.com,963-8339,X,Yes,Yes,Caravina
Second Line Wines,,,www.secondlinewines.com,320-9700,,Private,,Chris
Seek Wines,,Angwin,www.seekhowellmountain.com,965-9539,X,Private,,
Selah Wines,PO Box 157,Calistoga,www.selahwines.com,400-5551,X,Private,,Blanton Family Vineyards
Sequoia Grove,8338 St. Helena Highway,Rutherford,www.sequoiagrove.com,944-2945,X,No,,Allen Family
Sequum Wines,345 Lafata St Suite D,St. Helena,www.sequum.com,967-8597,,Private,,
Seven Apart,4057 Silverado Trail,Napa,www.sevenapart.com,287-1347,X,Yes,,
Seven Stones Winery,840 Meadowood Lane,St. Helena,www.sevenstoneswinery.com,963-0993,X,Private,,
Shadow Box Cellars,1201 1st Street,Napa,www.shadowboxcellars.com,738-0386,X,Yes,,Preiser Family
Shadybrook Estate Winery,100 Rapp Lane,Napa,www.shadybrookestate.com,255-5661,X,Yes,,"Secret Rows, Rapp wines, Ch. lane"
Shafer,6154 Silverado Trail,Napa,www.shafervineyards.com,944-2877,X,Yes,Yes,Eighty Four wines
Shanti Wines,45 Enterprise Court Unit 1,Napa,www.shantiwines.com,492-3830,,Private,,Most wines non NV - Industrial Park
Sherwin Family Vineyards,4060 Spring Mountain Rd,St. Helena,www.sherwinfamilyvineyards.com,963-1154,X,Yes,,
